Data,Utente_Telegram,Giornata,Partita,Pronostico_Segno,Pronostico_Risultato
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Messico_vs_Sudafrica,1,2-0
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Corea del Sud_vs_Rep. Ceca,1,3-2
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Canada_vs_Bosnia ed Erzegovina,X,0-0
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Stati Uniti_vs_Paraguay,X,0-0
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Qatar_vs_Svizzera,2,2-3
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Brasile_vs_Marocco,2,0-1
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Haiti_vs_Scozia,X,3-3
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Australia_vs_Turchia,2,1-2
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Germania_vs_Curaçao,1,2-0
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Paesi Bassi_vs_Giappone,2,1-3
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Costa d'Avorio_vs_Ecuador,X,1-1
2026-06-03 22:24:56,test,Giornata 1 (11 - 17 Giugno),Svezia_vs_Tunisia,2,0-2
